,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,CustomerHash
36,10215,35,100.0,3,3500.0,2004-01-29,Shipped,1,1,2004,Classic Cars,214,S10_1949,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,,Thompson,Steve,Medium,6d69106a7943
37,10228,29,100.0,2,2900.0,2004-03-10,Shipped,1,3,2004,Classic Cars,214,S10_1949,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,,Tseng,Kyung,Medium,3a3181508a5f
38,10245,34,100.0,9,3400.0,2004-05-04,Shipped,2,5,2004,Classic Cars,214,S10_1949,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,,Murphy,Leslie,Medium,4ccc2197ea37
39,10258,32,100.0,6,3200.0,2004-06-15,Shipped,2,6,2004,Classic Cars,214,S10_1949,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large,70fd68cf1f45
40,10270,21,100.0,9,2100.0,2004-07-19,Shipped,3,7,2004,Classic Cars,214,S10_1949,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium,e537ccda51bc
41,10280,34,100.0,2,3400.0,2004-08-17,Shipped,3,8,2004,Classic Cars,214,S10_1949,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large,90c6fe2bbe78
42,10291,37,100.0,11,3700.0,2004-09-08,Shipped,3,9,2004,Classic Cars,214,S10_1949,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large,61301e2bd297
43,10304,47,100.0,6,4700.0,2004-10-11,Shipped,4,10,2004,Classic Cars,214,S10_1949,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large,dc0c6dbb3406
44,10312,48,100.0,3,4800.0,2004-10-21,Shipped,4,10,2004,Classic Cars,214,S10_1949,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Large,82d8fc9ff379
45,10322,40,100.0,1,4000.0,2004-11-04,Shipped,4,11,2004,Classic Cars,214,S10_1949,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,,Young,Valarie,Medium,9ca6ba7fedb8
46,10333,26,100.0,3,2600.0,2004-11-18,Shipped,4,11,2004,Classic Cars,214,S10_1949,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium,22893cb50b27
47,10347,30,100.0,1,3000.0,2004-11-29,Shipped,4,11,2004,Classic Cars,214,S10_1949,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,28c8fbc86931
48,10357,32,100.0,10,3200.0,2004-12-10,Shipped,4,12,2004,Classic Cars,214,S10_1949,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,,Nelson,Valarie,Medium,82d8fc9ff379
49,10369,41,100.0,2,4100.0,2005-01-20,Shipped,1,1,2005,Classic Cars,214,S10_1949,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,,Nelson,Allen,Medium,3e77f87d80b8
50,10381,36,100.0,3,3600.0,2005-02-17,Shipped,1,2,2005,Classic Cars,214,S10_1949,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Large,70b9841f5801
51,10391,24,100.0,4,2400.0,2005-03-09,Shipped,1,3,2005,Classic Cars,214,S10_1949,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small,013538910d8d
52,10411,23,100.0,9,2300.0,2005-05-01,Shipped,2,5,2005,Classic Cars,214,S10_1949,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium,369bc18683bb
53,10424,50,100.0,6,5000.0,2005-05-31,In Process,2,5,2005,Classic Cars,214,S10_1949,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,eaac345d6fb5
54,10107,39,99.91,5,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,118,S10_2016,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,e3d43de75cc6
55,10120,29,96.34,3,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,118,S10_2016,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small,28c8fbc86931
56,10134,27,100.0,5,2700.0,2003-07-01,Shipped,3,7,2003,Motorcycles,118,S10_2016,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,6d18514c77d8
57,10145,37,100.0,9,3700.0,2003-08-25,Shipped,3,8,2003,Motorcycles,118,S10_2016,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium,e64fa8fbe476
58,10159,37,100.0,17,3700.0,2003-10-10,Shipped,4,10,2003,Motorcycles,118,S10_2016,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium,70b9841f5801
59,10168,27,100.0,4,2700.0,2003-10-28,Shipped,4,10,2003,Motorcycles,118,S10_2016,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium,0d70dc7f0339
60,10180,42,100.0,12,4200.0,2003-11-11,Shipped,4,11,2003,Motorcycles,118,S10_2016,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium,8626adf11f4e
61,10188,38,96.34,4,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,118,S10_2016,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,c726fb8f224e
62,10201,24,100.0,5,2400.0,2003-12-01,Shipped,4,12,2003,Motorcycles,118,S10_2016,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Medium,22893cb50b27
63,10210,23,100.0,2,2300.0,2004-01-12,Shipped,1,1,2004,Motorcycles,118,S10_2016,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,a41a6e100849
64,10223,47,100.0,4,4700.0,2004-02-20,Shipped,1,2,2004,Motorcycles,118,S10_2016,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,28c8fbc86931
65,10236,22,100.0,1,2200.0,2004-04-03,Shipped,2,4,2004,Motorcycles,118,S10_2016,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,,Hernandez,Rosa,Small,08ccfa59eda2
66,10251,44,100.0,5,4400.0,2004-05-18,Shipped,2,5,2004,Motorcycles,118,S10_2016,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Medium,0db94cefea19
67,10263,40,100.0,5,4000.0,2004-06-28,Shipped,2,6,2004,Motorcycles,118,S10_2016,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Medium,95721217953b
68,10275,22,100.0,4,2200.0,2004-07-23,Shipped,3,7,2004,Motorcycles,118,S10_2016,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small,320b47bf09e6
69,10285,47,100.0,9,4700.0,2004-08-27,Shipped,3,8,2004,Motorcycles,118,S10_2016,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,72034aaa222b
70,10298,39,96.34,1,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,118,S10_2016,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium,3325f3eef12a
71,10308,34,100.0,2,3400.0,2004-10-15,Shipped,4,10,2004,Motorcycles,118,S10_2016,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Medium,b10358b6f6ad
72,10318,45,100.0,4,4500.0,2004-11-02,Shipped,4,11,2004,Motorcycles,118,S10_2016,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium,212f84b84848
73,10329,20,100.0,2,2000.0,2004-11-15,Shipped,4,11,2004,Motorcycles,118,S10_2016,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,e3d43de75cc6
74,10339,40,68.92,4,2756.8,2004-11-23,Shipped,4,11,2004,Motorcycles,118,S10_2016,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,70fd68cf1f45
75,10361,26,51.15,8,1329.8999999999999,2004-12-17,Shipped,4,12,2004,Motorcycles,118,S10_2016,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,e537ccda51bc
76,10374,39,100.0,5,3900.0,2005-02-02,Shipped,1,2,2005,Motorcycles,118,S10_2016,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,c64ac43af796
77,10388,50,44.51,5,2225.5,2005-03-03,Shipped,1,3,2005,Motorcycles,118,S10_2016,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Small,3a34ce371180
78,10402,45,100.0,1,4500.0,2005-04-07,Shipped,2,4,2005,Motorcycles,118,S10_2016,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,54e36df592c5
79,10417,45,100.0,5,4500.0,2005-05-13,Disputed,2,5,2005,Motorcycles,118,S10_2016,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Medium,eaac345d6fb5
80,10107,27,100.0,4,2700.0,2003-02-24,Shipped,1,2,2003,Motorcycles,193,S10_4698,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,e3d43de75cc6
81,10120,46,100.0,2,4600.0,2003-04-29,Shipped,2,4,2003,Motorcycles,193,S10_4698,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,28c8fbc86931
82,10134,31,100.0,4,3100.0,2003-07-01,Shipped,3,7,2003,Motorcycles,193,S10_4698,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Large,6d18514c77d8
83,10145,33,100.0,8,3300.0,2003-08-25,Shipped,3,8,2003,Motorcycles,193,S10_4698,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium,e64fa8fbe476
84,10159,22,100.0,16,2200.0,2003-10-10,Shipped,4,10,2003,Motorcycles,193,S10_4698,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium,70b9841f5801
85,10168,20,100.0,3,2000.0,2003-10-28,Shipped,4,10,2003,Motorcycles,193,S10_4698,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium,0d70dc7f0339
86,10180,41,100.0,11,4100.0,2003-11-11,Shipped,4,11,2003,Motorcycles,193,S10_4698,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Large,8626adf11f4e
87,10188,45,100.0,3,4500.0,2003-11-18,Shipped,4,11,2003,Motorcycles,193,S10_4698,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Large,c726fb8f224e
88,10201,49,100.0,4,4900.0,2003-12-01,Shipped,4,12,2003,Motorcycles,193,S10_4698,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Large,22893cb50b27
89,10210,34,100.0,1,3400.0,2004-01-12,Shipped,1,1,2004,Motorcycles,193,S10_4698,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium,a41a6e100849
90,10223,49,100.0,3,4900.0,2004-02-20,Shipped,1,2,2004,Motorcycles,193,S10_4698,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Large,28c8fbc86931
91,10237,39,100.0,9,3900.0,2004-04-05,Shipped,2,4,2004,Motorcycles,193,S10_4698,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Large,3bcaa70b06b7
92,10251,43,100.0,4,4300.0,2004-05-18,Shipped,2,5,2004,Motorcycles,193,S10_4698,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Large,0db94cefea19
93,10263,41,100.0,4,4100.0,2004-06-28,Shipped,2,6,2004,Motorcycles,193,S10_4698,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Large,95721217953b
94,10275,36,100.0,3,3600.0,2004-07-23,Shipped,3,7,2004,Motorcycles,193,S10_4698,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,320b47bf09e6
95,10285,27,100.0,8,2700.0,2004-08-27,Shipped,3,8,2004,Motorcycles,193,S10_4698,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,72034aaa222b
96,10299,29,100.0,11,2900.0,2004-09-30,Shipped,3,9,2004,Motorcycles,193,S10_4698,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,959e6812d3b0
97,10308,20,100.0,1,2000.0,2004-10-15,Shipped,4,10,2004,Motorcycles,193,S10_4698,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,,Frick,Steve,Medium,b10358b6f6ad
98,10318,37,100.0,3,3700.0,2004-11-02,Shipped,4,11,2004,Motorcycles,193,S10_4698,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Large,212f84b84848
99,10329,26,100.0,3,2600.0,2004-11-15,Shipped,4,11,2004,Motorcycles,193,S10_4698,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,e3d43de75cc6
100,10339,39,76.67,3,2990.13,2004-11-23,Shipped,4,11,2004,Motorcycles,193,S10_4698,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Small,70fd68cf1f45
101,10362,22,100.0,4,2200.0,2005-01-05,Shipped,1,1,2005,Motorcycles,193,S10_4698,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium,0d70dc7f0339
102,10374,22,100.0,1,2200.0,2005-02-02,Shipped,1,2,2005,Motorcycles,193,S10_4698,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Medium,c64ac43af796
103,10388,21,86.77,7,1822.1699999999998,2005-03-03,Shipped,1,3,2005,Motorcycles,193,S10_4698,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Small,3a34ce371180
104,10403,66,100.0,9,6600.0,2005-04-08,Shipped,2,4,2005,Motorcycles,193,S10_4698,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Large,fdd03fb3d341
105,10417,56,100.0,4,5600.0,2005-05-13,Disputed,2,5,2005,Motorcycles,193,S10_4698,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,eaac345d6fb5
106,10105,50,100.0,2,5000.0,2003-02-11,Shipped,1,2,2003,Classic Cars,136,S10_4757,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte,Large,dbb2ced232e4
107,10119,46,100.0,11,4600.0,2003-04-28,Shipped,2,4,2003,Classic Cars,136,S10_4757,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Medium,f2b0b9a792ab
108,10129,33,100.0,2,3300.0,2003-06-12,Shipped,2,6,2003,Classic Cars,136,S10_4757,(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann,Medium,0e25a1d2bddc
109,10143,49,100.0,15,4900.0,2003-08-10,Shipped,3,8,2003,Classic Cars,136,S10_4757,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,,Tam,Wing C,Medium,abee7ce4499c
110,10155,32,100.0,13,3200.0,2003-10-06,Shipped,4,10,2003,Classic Cars,136,S10_4757,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Medium,959e6812d3b0
111,10167,44,100.0,9,4400.0,2003-10-23,Cancelled,4,10,2003,Classic Cars,136,S10_4757,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Medium,61301e2bd297
112,10178,24,100.0,12,2400.0,2003-11-08,Shipped,4,11,2003,Classic Cars,136,S10_4757,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette,Medium,050c74647814
113,10186,26,100.0,9,2600.0,2003-11-14,Shipped,4,11,2003,Classic Cars,136,S10_4757,(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,Hardy,Thomas,Medium,c80f1e25a0cd
114,10197,45,100.0,6,4500.0,2003-11-26,Shipped,4,11,2003,Classic Cars,136,S10_4757,(93) 203 4555,"Rambla de Catalu§a, 23",,Barcelona,,8022,Spain,EMEA,Saavedra,Eduardo,Medium,8a081d3ae3ce
115,10209,39,100.0,8,3900.0,2004-01-09,Shipped,1,1,2004,Classic Cars,136,S10_4757,2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA,,Chandler,Michael,Medium,73be75a7a6d1
116,10222,49,100.0,12,4900.0,2004-02-19,Shipped,1,2,2004,Classic Cars,136,S10_4757,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,,Thompson,Valarie,Medium,0e30808ae0b2
117,10248,20,100.0,3,2000.0,2004-05-07,Cancelled,2,5,2004,Classic Cars,136,S10_4757,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Small,e3d43de75cc6
118,10261,27,100.0,1,2700.0,2004-06-17,Shipped,2,6,2004,Classic Cars,136,S10_4757,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,,Fresnisre,Jean,Medium,369bc18683bb
119,10273,30,100.0,4,3000.0,2004-07-21,Shipped,3,7,2004,Classic Cars,136,S10_4757,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine,Medium,9233b336cd9b
